Zaman damgası,Onaylıyor musunuz?,Yaşınız?,Cinsiyetiniz?,"Renklerin kokusu olsa, sizi en iyi yansıtan renk hangisi olurdu?","Bir ortama girdiğinde nasıl ""tanınmak"" istersiniz ? ",Hangi koku ailesi size daha yakın?,"Sıklıkla kullandığınız bir parfüm var mı, varsa ismi nedir? ",Kullandığınız parfümden ne kadar memnunsunuz?,Nasıl bir cilt tipine sahipsiniz?,Hangi tür parfümleri tercih edersiniz?,İdeal parfümünüzün yoğunluğu nasıl olmalı?,Günün hangi zamanlarında parfüm kullanma ihtimalin daha yüksek?,Bir parfümde hangisi sizin için daha önemli?”,Geçmişteki herhangi bir anınızla bağdaştırdığınız bir kokudan kısaca bahseder misiniz?  Bu koku nedir?,"Kokuyla bağdaştırdığınız anınızı kısaca anlatabilir misiniz? 

(örnek: Maya kokusu, bana annemin hazırladığı o şirin ekmekleri hatırlatır)",Bu anıyı düşündüğünüzde hangi duyguyu daha baskın hissediyorsunuz?,Duygunuzun baskınlık seviyesi nedir?
12.02.2026 22:19:51,"Okudum, onaylıyorum",20,Kadın,Kırmızı,Gizemli ve Çekici,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Calvin Klein - Euphoria,5,Hassas,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,İz Bırakan: Ben odadan çıktıktan sonra bile kokum orada kalsın.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,Christian Lacroix Nuit parfüm,Bana ilk hediye edilen parfümdü. Uzun bir süre kokusunu aradım.,Özlem ve Nostalji,5
12.02.2026 22:27:41,"Okudum, onaylıyorum",20,Kadın,Yeşil,Taze ve Enerjik,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Yok,3,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,yok,Yok,Özlem ve Nostalji,2
12.02.2026 22:34:34,"Okudum, onaylıyorum",21,Erkek,mavi,Taze ve Enerjik,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",savage dior,5,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Güçlü: Bir odaya girdiğimde kokum hemen fark edilsin.,Sadece özel günlerde ve davetlerde,İçerik kalitesi,onun kokusu,ex,Özlem ve Nostalji,3
12.02.2026 22:41:04,"Okudum, onaylıyorum",20,Kadın,Pembe,Doğal ve Duru,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Mint,3,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Akşam dışarı çıkarken (Buluşma / Eğlence / Sosyal Ortam),Ulaşılabilir fiyat,Çimen kokusu icime huzur veriyor,İstanbul'daki kestanecilerin onu pişirirken çıkan köz kokusu köyüme olan özlemimi hatırlatıyor,Özlem ve Nostalji,2
12.02.2026 23:16:41,"Okudum, onaylıyorum",19,Erkek,kahverengi,Taze ve Enerjik,"Dry Woods (Kuru Odunsu): Sedir ağac, Tütsü",jpg le male exilir absolu,5,Normal,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,"Fark etmez, benim kokum her an benimledir",İçerik kalitesi,yok,yok,Huzur ve Güven,5
12.02.2026 23:40:11,"Okudum, onaylıyorum",20,Kadın,Beyaz ,Doğal ve Duru,"Soft Floral (Yumuşak Çiçeksi): Menekşe, gül",Mad y101,5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),Ulaşılabilir fiyat,hanımeli kokusu,Anneannemin bahçesinde çocukken duyduğum hanımeli kokusu,Özlem ve Nostalji,4
13.02.2026 00:17:14,"Okudum, onaylıyorum",24,Erkek,Lacivert,Taze ve Enerjik,"Soft Amber (Yumuşak Amber): Çikolata, Vanilya",Althaır Parfums de Marly,5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Çocukluğumda CD'lerin plastik kutuları olurdu. Bu kutuların petrokimyasal kokuları olurdu. Bu kokuyu unutamıyorum.,Bir önceki soruda verdiğim cevaptaki plastik kutuların kokusu bana her zaman çocukluğumu ve o kutulardan çıkardığım CD'lerle izlediğim animasyonları hatırlatır.,Masumiyet ve Tazelik,4
13.02.2026 00:54:02,"Okudum, onaylıyorum",21,Erkek,Yeşil,Taze ve Enerjik,"Mossy Woods (Yosunlu Odunsu): Meşe yosunu, Paçuli",Tom Ford Japon noir,4,Karma,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.",Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,Suni deri kokusu üzerine işlenmiş toprak ve çimen kokusu,Sokakta oynadığım futbol topumun suni deriyle karışık toprak ve çimen kokusu beni çocukluğumun yalancı özgürlüğüne götürüyor,Neşe ve Enerji,4
13.02.2026 04:16:49,"Okudum, onaylıyorum",22,Erkek,Turuncu,Taze ve Enerjik,"Woody Amber (Odunsu Amber): Köz, Reçine, Amber",Jean paul galtier le male,5,Karma,Eau de Parfum (EDP): Yoğun ve kalıcılığı yüksek olduğu için özellikle gece veya soğuk aylarda tercih edilir.,Orta: Yanımdan geçenler hafif bir esinti duysun ama kimseyi rahatsız etmesin.,Akşam dışarı çıkarken (Buluşma / Eğlence / Sosyal Ortam),İçerik kalitesi,Oyle bi koku yok,Yok,Huzur ve Güven,1
13.02.2026 10:44:56,"Okudum, onaylıyorum",20,Erkek,Mavi ,Tatlı ve Sempatik,"Aromatic (Aromatik): Fesleğen, Adaçayı",Yok,3,Yağlı,"Eau de Toilette (EDT):Gündelik kullanıma ve dört mevsime uygun , hafif yoğunluğuyla özellikle yaz aylarında ferah hissettirir.","Tene Yakın: Çok hafif olsun, sadece ben ve bana sarılanlar duysun.",Sabah güne başlarken (Günlük / İş / Okul),İçerik kalitesi,.,.,Özlem ve Nostalji,5
